task,model,prec,rec,F1
ds14,mc.mars_UNDERB,0.3090415554753429,0.4082739228172849,0.3110063205753102
ds14,mc.mars_UNDERT,0.30878949818403234,0.4026167772417167,0.3148479265263222
ds14,mc.mars_UNDERTPhi,0.32010860940919045,0.40663158747307476,0.3083066438284471
ds14,mc.mars_OVERB,0.3824299478948791,0.4421452388468559,0.4066712937627125
ds14,mc.mars_OVERT,0.3771085040310631,0.4337432834763637,0.39884283531815923
ds14,mc.mars_OVERTPhi,0.3693319065388803,0.4439618368866348,0.39524872170515457
ds14,mc.mars_SMOTEB,0.35075743179730395,0.4449364485592747,0.3901927750655733
ds14,mc.mars_SMOTET,0.34610530798273587,0.44762058262012205,0.38891183394881723
ds14,mc.mars_SMOTETPhi,0.33987270024585287,0.45017887196813433,0.38433742010217253
ds14,mc.rf,0.0761483205301054,0.3801390513467776,0.07326598495175221
ds14,mc.rf_UNDERB,0.16818187374046495,0.40186187985723953,0.16578686423123568
ds14,mc.rf_UNDERT,0.1743467155460946,0.4039863333397916,0.17953845220474918
ds14,mc.rf_UNDERTPhi,0.17416351392881002,0.4062160409970223,0.1871859322514781
ds14,mc.rf_OVERB,0.15887404095912358,0.4019001323260493,0.16490077281581056
ds14,mc.rf_OVERT,0.19157098191518762,0.4093423626063957,0.17548176812052488
ds14,mc.rf_OVERTPhi,0.15671275995346687,0.41008839220162163,0.1570288221847457
ds14,mc.rf_SMOTEB,0.39578547247681906,0.4308258450569856,0.3945705467617862
ds14,mc.rf_SMOTET,0.3585903002973882,0.43459971176555195,0.37648840754519747
ds14,mc.rf_SMOTETPhi,0.3517963035936768,0.4422741622005322,0.3850579601596473
ds14,mc.rpart,0.3503599463493604,0.3779435925959644,0.3586484989319744
ds14,mc.rpart_UNDERB,0.34662720318971707,0.4421143762825639,0.3863822063112343
ds14,mc.rpart_UNDERT,0.3490952651519344,0.42627063715708396,0.38184197811708925
ds14,mc.rpart_UNDERTPhi,0.35364009345222164,0.44777590254509614,0.3931145683940629
ds14,mc.rpart_OVERB,0.36472795328510044,0.4371712107648459,0.3963944310133276
ds14,mc.rpart_OVERT,0.36228205974463207,0.42316023327116836,0.38878721139202094
ds14,mc.rpart_OVERTPhi,0.35175183330206944,0.42710778328020454,0.38350048138775095
ds14,mc.rpart_SMOTEB,0.348241673583211,0.4466940802928934,0.3892909634087664
ds14,mc.rpart_SMOTET,0.34754600496897015,0.45982619697915567,0.3944564935600575
ds14,mc.rpart_SMOTETPhi,0.3507783007127812,0.4705066352767702,0.39982610397857193
ds14,mc.arima,1e-05,0.37343801581546415,1.9999464039412198e-05
ds14,mc.BDES,1e-05,0.3998967424848601,1.9999499317642154e-05
ds15,mc.lm,1e-05,0.3913101970739121,1.9999486925777933e-05
